item_id,item_name,item_price,item_cat,image_url,product_link,image_file
368,"SAXHYTTANמנורת שולחן, בז'/שחור, 26 ס""מ",₪ 79,Lamp table,https://www.ikea.com/il/he/images/products/saxhyttan-table-lamp-beige-black__0984125_pe816201_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/saxhyttan-table-lamp-beige-black-40502250/,368.jpg
369,"SPETSBOJמנורת שולחן, ניתן לעמעם/ירוק, 22 ס""מ",₪ 59,Lamp table,https://www.ikea.com/il/he/images/products/spetsboj-table-lamp-dimmable-green__1355495_pe953147_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/spetsboj-table-lamp-dimmable-green-70591612/,369.jpg
370,"STOCKHOLM 2025מנורת שולחן, צהוב/בד, 35 ס""מ",₪ 245,Lamp table,https://www.ikea.com/il/he/images/products/stockholm-2025-table-lamp-yellow-textile__1285170_pe933241_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-table-lamp-yellow-textile-40586216/,370.jpg
371,"NYMÅNEמנורת שולחן, לבן, 33 ס""מ",₪ 195,Lamp table,https://www.ikea.com/pimg/1377230_pe960815_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/nymane-table-lamp-white-40593071/,371.jpg
372,"NÄVLINGEמנורת שולחן לד, צהוב/לבן",₪ 95,Lamp table,https://www.ikea.com/pimg/1257225_pe925653_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/naevlinge-led-desk-lamp-yellow-white-80574711/,372.jpg
373,"MISTERHULTמנורת שולחן, במבוק/עבודת יד, 36 ס""מ",₪ 195,Lamp table,https://www.ikea.com/il/he/images/products/misterhult-table-lamp-bamboo-handmade__0789071_pe763807_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/misterhult-table-lamp-bamboo-handmade-50437626/,373.jpg
374,"SNÖBYARמנורת שולחן, אפור-טורקיז קרמיקה/אפור, 52 ס""מ",₪ 295,Lamp table,https://www.ikea.com/il/he/images/products/snoebyar-table-lamp-grey-turquoise-ceramic-grey__0952098_pe801573_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/snoebyar-table-lamp-grey-turquoise-ceramic-grey-50450401/,374.jpg
375,"STOCKHOLM 2025מנורת תלייה, זכוכית/ציפוי פליז, 54 ס""מ",₪ 745,Lamp pendant,https://www.ikea.com/il/he/images/products/stockholm-2025-pendant-lamp-glass-brass-plated__1285162_pe933235_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-pendant-lamp-glass-brass-plated-90585950/,375.jpg
376,"ZEBRASÄVמנורת תלייה, לבן/פלסטיק, 46 ס""מ",₪ 29,Lamp pendant,https://www.ikea.com/pimg/1286742_pe933703_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/zebrasaev-pendant-lamp-white-plastic-10522481/,376.jpg
377,"STOCKHOLM 2025מנורת תלייה, זכוכית/ציפוי פליז, 38 ס""מ",₪ 495,Lamp pendant,https://www.ikea.com/il/he/images/products/stockholm-2025-pendant-lamp-glass-brass-plated__1285167_pe933238_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-pendant-lamp-glass-brass-plated-50586305/,377.jpg
378,"HÖGVINDמנורת תלייה ל-3 נורות, ציפוי ניקל/אפור זכוכית, 41 ס""מ",₪ 450,Lamp pendant,https://www.ikea.com/il/he/images/products/hoegvind-pendant-lamp-with-3-lamps-nickel-plated-grey-glass__1045903_pe842765_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/hoegvind-pendant-lamp-with-3-lamps-nickel-plated-grey-glass-50492929/,378.jpg
379,"GULLSUDARE / HAVSDJUPמנורת תלייה, לבן, 45 ס""מ",₪ 39,Lamp pendant,https://www.ikea.com/pimg/1455789_pe991997_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/gullsudare-havsdjup-pendant-lamp-white-s29613301/,379.jpg
380,"SOLKLINTמנורת תלייה, פליז/זכוכית בגוון אפור, 22 ס""מ",₪ 125,Lamp pendant,https://www.ikea.com/il/he/images/products/solklint-pendant-lamp-brass-grey-clear-glass__0842306_pe778948_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/solklint-pendant-lamp-brass-grey-clear-glass-10430778/,380.jpg
381,"NÖSUNDמנורת תקרה, ליבנה, 44 ס""מ",₪ 395,Lamp pendant,https://www.ikea.com/pimg/1341880_pe948926_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/noesund-ceiling-lamp-birch-20404887/,381.jpg
382,"VINDKASTמנורת תלייה, לבן, 50 ס""מ",₪ 195,Lamp pendant,https://www.ikea.com/il/he/images/products/vindkast-pendant-lamp-white__0805857_pe769703_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/vindkast-pendant-lamp-white-20450520/,382.jpg
383,"STOCKHOLM 2025מנורת תלייה, לבן בד/ציפוי פליז, 50 ס""מ",₪ 275,Lamp pendant,https://www.ikea.com/il/he/images/products/stockholm-2025-pendant-lamp-white-textile-brass-plated__1285166_pe933237_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/stockholm-2025-pendant-lamp-white-textile-brass-plated-90585988/,383.jpg
384,"TIDIGחמישיית ספוטים לתקרה, ציפוי ניקל",₪ 195,Lamp pendant,https://www.ikea.com/pimg/0607352_pe682901_s5.jpg?f=xxs,https://www.ikea.com/il/he/p/tidig-ceiling-spotlight-with-5-spots-nickel-plated-90262653/,384.jpg
